Univ_Code_Key,Univ_Abr_Code,Univ_name,Univ_name2,Univ_Institution_Type,Univ_Member_Since,Univ_Member_Until,Univ_Dept,Univ_Street,Univ_House_Number,Univ_City,Univ_PO_Box,Univ_PO_Zip,Univ_State,Univ_Zip,Univ_Country,Univ_Active,SSMA_TimeStamp,Univ_TimeZone,Univ_Member_Type,Univ_Degree,Univ_Status,Univ_GeoCode,Univ_URL,Univ_Modified
83,NIAC,Niagara College,,02,2006,,Business & Entrepreneurship Division,"Taylor Road, RR#4, Niagara-on-the-Lake Campus",135,Niagara-on-the-Lake,,,ON,L0S 1J0,CA,-1,000000000001F426,EST,01,02,01,,http://www.niagaracollege.ca,11/5/2010
84,,State University of New York - Plattsburg,,01,2008,,School of Business and Economics,Broad Street,101,Plattsburgh,,,NY,12901,US,-1,000000000002699D,EST,01,04,01,,http://www.plattsburgh.edu/academics/management,7/11/2011
85,MONT,Universite du Quebec a Montreal,,01,2007,,Ecole des sciences de la gestion,rue Sainte-Catherine Est,315,Montreal,,,QC,H2X 3X2,CA,-1,000000000001F442,EST,01,05,01,,http://www.uqam.ca,11/5/2010
86,UNF,University of North Florida,,01,2007,,Coggin College of Business,UNF Drive,1,Jacksonville,,,FL,32224,US,-1,000000000001F453,EST,01,05,01,,http://www.unf.edu/coggin,11/5/2010
87,UOK,University of Oklahoma,,01,2007,,Price College of Business,Parrington Road    ,660,Norman,,,OK,73019,US,-1,000000000001F454,CST,01,05,01,,http://www.ou.edu/price.html,11/5/2010
88,SCRA,University of Scranton,,01,1998,,Kania School of Management,Brennan Hall,347,Scranton,,,PA,18510,US,-1,000000000001F471,EST,01,04,01,,http://matrix.scranton.edu/academics/ksom/oim/index.shtml,11/8/2010
89,,University of South Florida,,01,2007,,College of Business Administration,E. Fowler Avenue,4202,Tampa,,,FL,33620,US,-1,000000000001F457,EST,01,05,01,,http://www.coba.usf.edu,11/5/2010
90,VCSU,Valley City State University,,01,2007,,Division of Business and Information Technology,College Street,101,Valley City,,,ND,58072,US,-1,000000000001F45C,CST,01,04,01,,http://www.vcsu.edu/academics/divisions/businfotech,11/5/2010
91,,Saint Francis Xavier University,,01,1999,,Dept. of Information Systems,n/a,n/a,Antigonish,PO Box 5000,B2G 2W5,NS,B2G 2W5,CA,-1,0000000000054933,AST,01,04,01,,http://www.stfx.ca/faculties/business,11/21/2014
92,,Nova Southeastern University,,01,20080301,2009,H.Wayne Huizenga School of Business and Entrepreneurship,"College Avenue, Carl DeSantis Building",3301,Ft. Lauderdale-Davie,,,FL, 33314,US,0,00000000000518C7,EST,01,04,02,,,6/24/2014
93,,University of Alabama-Huntsville,,01,2020,,College of Business Administration,Sparkman Drive,301,Huntsville,,,AL,35899,US,0,0000000000019F5D,CST,01,04,03,,,6/25/2010
94,,New Mexico State University,,01,2020,,Information Systems,n/a,n/a,Las Cruces  ,PO Box 30001,88003,NM,88003,US,0,000000000001F2B2,MST,01,04,03,,,10/18/2010
95,,Alabama State University,,01,2020,,,S. Jackson Street,915,Montgomery,,,AL,36104,US,0,0000000000019F5B,CST,01,04,03,,,6/25/2010
97,,York University,,01,2008,,Atkinson Faculty of Liberal and Professional Studies,Keele Street,4700,North York,,,ON,M3J 1P3,CA,-1,000000000001F463,EST,01,05,01,,http://www.yorku.ca/laps/sas/index.html,11/5/2010
100,,University of Mississippi,,01,1999,,School of Business Administration,Holman Hall,320,University,,,MS,38677,US,-1,000000000001F44D,CST,01,05,01,,http://www.olemissbusiness.com,11/5/2010
101,,University of Tampa,,01,2008,,John H. Sykes College of Business,W. Kennedy Boulevard,401,Tampa,,,FL,33606,US,-1,000000000001F458,EST,01,04,01,,http://www.ut.edu/businessdegrees,11/5/2010
102,,Saint Louis University,,01,2020,,John Cook School of Business,Lindell Boulevard,3674,St. Louis,,,MO,63108,US,0,000000000001F432,CST,01,04,03,,http://www.salisbury.edu/perdue,11/5/2010
103,,East Tennessee State University,,01,2008,,Computer and Information Sciences Department,University Parkway,807,Johnson City,PO Box 70711,37614,TN,37614,US,-1,000000000002C76A,EST,03,04,01,,http://www.cs.etsu.edu,1/2/2012
104,,Neumann University,,02,2008,20131231,Division of Business and Information Management,Neumann Drive,1,Aston,,,PA,19014,US,-1,000000000004BE7F,EST,01,05,02,,http://www.neumann.edu,1/6/2014
105,UCF,University of Central Florida,,01,2020,,,Central Florida Boulevard,4000,Orlando,,,FL,32816,US,-1,000000000001ECA7,,01,05,99,,,7/14/2010
106,,International Technological University,,01,2008,,School of Engineering and School of Business,San Aleso Avenue,756,Sunnyvale,,,CA,94085,US,-1,000000000001F47A,PST,01,05,01,,http://www.itu.edu,11/8/2010
107,,Governors State University,,01,20080901,,College of Business & Public Administration,University Parkway,1,University Park,,,IL,60466,US,-1,000000000001F411,CST,01,05,01,,http://www.govst.edu/cbpa,11/5/2010
108,,Regis University,,01,2008,,School of Compter and Information Science,Regis Boulevard,3333,Denver,,,CO,80221,US,-1,000000000001F42D,MST,01,04,01,,http://www.regis.edu/regis.asp?sctn=cpcis,11/5/2010
109,,Universite du Quebec a Chicoutimi,,01,2010,20120625,,Boulevard de l'Universit�,555,Chicoutimi,,,QC,G7H 2B1,CA,-1,0000000000033522,EST,01,05,02,,http://www.uqac.ca,7/7/2012
110,,Milwaukee School of Engineering,,02,2008,,Mech Eng Dept & Rader School of Business,N. Broadway,1025,Milwaukee,,,WI,53202,US,-1,000000000001F423,CST,01,04,01,,http://www.msoe.edu/academics/academic_departments/school_of_business,11/5/2010
111,,University of Wisconsin-Platteville,,01,2008,,,University Plaza,1,Platteville,,,WI,53818,US,-1,000000000001F45B,CST,01,04,01,,http://www.uwplatt.edu,11/5/2010
112,,University of Wisconsin-Madison,,01,2008,,Wisconsin School of Business,University Avenue,975,Madison,,,WI,53706,US,-1,000000000001F45A,CST,01,05,01,,http://www.bus.wisc.edu,11/5/2010
113,,Rowan University,,01,2009,,Rohrer College of Business,Mullica Hill Road,201,Glassboro,,,NJ,08028,US,-1,000000000001F42F,EST,01,04,01,,http://www.rowan.edu/colleges/business,11/5/2010
129,TAM,Texas A&M University,,01,2009,,Mays Business School,Wehner Building Room 440,MS 4113,College Station,,,TX,77843,US,-1,000000000001F43D,CST,01,05,01,,http://mays.tamu.edu,11/5/2010
130,,Tarleton State University,,01,2009,20121231,,W. Washington Street,1333,Stephenville,Box T-0200,76402,TX,76401,US,-1,000000000003C1D4,EST,01,05,02,,http://www.tarleton.edu/COBAWEB/coba,12/28/2012
131,,University of Houston-Downtown,,01,2009,,College of Business,Main Street,One,Houston,,,TX,77002,US,-1,000000000001F44A,CST,01,04,01,,http://www.uhd.edu/academic/colleges/business,11/5/2010
132,,Southern Connecticut State University,,01,2009,20130531,School of Business,Crescent Street,501,New Haven,,,CT,06515,US,-1,0000000000044EFE,EST,01,05,02,,http://www.southernct.edu/business,6/10/2013
133,,Arizona State University,,01,2009,20121231,W.P. Carey School of Business,East Lemon,300,Tempe,,,AZ,85287,US,-1,0000000000040FBF,MST,01,05,01,,http://wpcarey.asu.edu/,4/10/2013
134,,Universite du Quebec en Outaouais,,01,2009,,Departement des sciences administrative,boul. Alexandre-Tache,283,Gatineau,,,QC,J8X 3X7,CA,-1,0000000000033523,EST,01,05,01,,http://www.uqo.ca,7/7/2012
135,,North Carolina State University,,01,2009,,,Founders Drive,2801,Raleigh,Campus Box 8113,27695,NC,27695,US,-1,000000000001F427,EST,01,05,01,,http://www.mgt.ncsu.edu,11/5/2010
136,CMU,Central Michigan University,,01,1997,,,"E. Bellows, Grawn Hall",150,Mount Pleasant,,,MI,48859,US,,000000000001F407,,03,05,01,,http://www.cba.cmich.edu/,11/4/2010
139,UU,University of Utah,,01,2020,,Department of Operations and Information Systems,E. Campus Center Drive,1645,Salt Lake City,,,UT,84112,US,0,000000000001F2A5,MST,01,05,03,,,10/18/2010
140,,University of Pittsburgh,,01,2009,,Graduate School of Business & College of Business Administration,Fifth Avenue,4200,Pittsburgh,,,PA,15260,US,-1,000000000001F455,EST,01,05,01,,http://www.business.pitt.edu/cba,11/5/2010
141,LLU,Our Lady of the Lake University,,01,2009,,School of Business and Leadership,S.W. 24th Street,411,San Antonio,,,TX,78207,US,-1,000000000001F429,CST,01,05,01,,http://www.ollusa.edu/s/1190/ollu.aspx?pgid=974,11/5/2010
142,MCT,Metro College of Technology,,02,2010,,,"College Street, Suite 201",203,Toronto,,,ON,M5T 1P9,CA,-1,000000000001F421,EST,01,01,01,,http://www.metroc.ca,11/5/2010
143,SAM,Sam Houston State University,,01,2002,,,"Avenue I, Suite 302",1821,Huntsville,,,TX,77340,US,-1,0000000000058747,,03,05,01,,http://www.shsu.edu/~coba,3/6/2015
145,,Oakland University,School of Engineering and Computer Science   ,01,2010,,,Squirrel Road,2200,Rochester,,,MI,48309,US,-1,000000000001F428,,01,05,01,,http://www.oakland.edu/secs,11/5/2010
146,,Pellissippi State Community College,,03,2010,20130101,,Hardin Valley Road,10915,Knoxville,,,TN,37932,US,-1,000000000003E335,,01,01,02,,http://www.pstcc.edu/departments/bct/index.htm,2/6/2013
150,,Bellarmine University,,01,20100701,20131231,,Newburg Road,2001,Louisville,,,KY,40205,US,-1,000000000004BE7E,,01,05,02,,http://www.bellarmine.edu/ce,1/6/2014
151,,Elon University,,01,2010,,,na,Campus Box 2075,Elon,,,NC,27244,US,-1,000000000001F477,,01,05,01,,http://www.elon.edu,11/8/2010
152,,Wayne State University,,01,20100701,,,Prentis Building,226,Detroit,,,MI,48202,US,-1,000000000001F45F,,01,05,01,,http://www.busadm.wayne.edu,11/5/2010
153,,Montclair State University,,01,20100801,,,Normal Avenue,1,Montclair,,,NJ,07043,US,-1,000000000005A806,,01,05,02,,http://sbus.montclair.edu,5/19/2015
154,,Missouri University of Science and Technology,,01,20110101,,,W. 14th Street,301,Rolla,,,MO,65409,US,-1,000000000001FC58,,03,05,01,,http://business.mst.edu,11/15/2010
155,,University of North Alabama,,01,20110101,,,Harrison Plaza,One,Florence,,,AL,35632,US,-1,00000000000210F0,,01,04,01,,http://business.una.edu,1/20/2011
156,,Northwood University,,01,20110101,,,Whiting Drive,4000,Midland,,,MI,48640,US,-1,000000000001FE94,,01,04,01,,www.northwood.edu,12/7/2010
157,,Universite Laval,,01,20110101,,,rue de la Terrasse,2325,Quebec City,,,QC,G1V 0A6,CA,-1,0000000000021C08,,01,05,01,,http://www.fsa.ulaval.ca,2/7/2011
158,,Purdue University,,01,20110101,,,S. Grant Street,401,West Lafayette,,,IN,47907,US,-1,000000000001FFEE,,01,05,01,,http://www.tech.purdue.edu/IT/Index.cfm,12/21/2010
159,,Delta State University,,01,20110501,,,W. Sunflower,1004,Cleveland,,,MS,38733,US,-1,0000000000023DF1,,01,05,01,,http://www.deltastate.edu/business,4/13/2011
160,,University of Findlay,,01,20110501,,,North Main Stret,1000,Findlay,,,OH,45840,US,-1,0000000000023DEF,,01,05,01,,http://findlay.edu/default.htm,4/13/2011
161,,Sacred Heart University,Welch College of Business,01,20110601,,,Park Avenue,5151,Fairfield,,,CT,06825,US,-1,0000000000023F8A,,01,05,01,,http://www.sacredheart.edu/pages/15_john_f_welch_college_of_business.cfm,5/5/2011
162,,Georgia State University,Robinson College of Business,01,20110501,,,Broad Street NW,35,Atlanta,,,GA,30303,US,-1,0000000000023F4E,,01,05,01,,http://robinson.gsu.edu,5/4/2011
163,,Durham College,,02,20110601,,,Simcoe Street N.,2000,Oshawa,,,ON,L1H 7K4,CA,-1,0000000000024BA9,,01,03,01,,http://www.durhamcollege.ca,6/1/2011
164,,George Mason University,,01,20110601,20121231,,"University Drive, Enterprise Hall 244",4400,Fairfax,,,VA,22030,US,-1,000000000003C1D3,,01,05,02,,http://som.gmu.edu,12/28/2012
165,,Boston University,,01,20110601,20131231,,Commonwealth Avenue,808,Boston,,,MA,02215,US,-1,000000000004BE7C,,01,05,02,,http://www.bu.edu/met,1/6/2014
166,,University of St. Thomas,,01,20110701,,,LaSalle Avenue,1000,Minneapolis,,,MN,55403,US,-1,000000000002561A,,01,05,01,,http://www.stthomas.edu/business/,6/20/2011
167,,Blue Ridge Community and Technical College,,03,20110701,,,West Stephen Street,400,Martinsburg,,,WV,25401,US,-1,000000000002561F,,01,01,01,,http://www.blueridgectc.edu,6/20/2011
168,,University of British Columbia,,01,20110701,,,Main Mall,2053,Vancouver,,,BC,V6T 1Z2,CA,-1,0000000000025728,,01,05,01,,http://www.sauder.ubc.ca,7/1/2011
169,,Ecole Polytechnique de Montreal,,01,20110901,,,Boul. Edouard-Montpetit,2900,Montreal,"C.P. 6079, Succ. Centre-ville",H3C 3A7,QC,H3T 1J4,CA,-1,0000000000028BA1,,01,05,01,,http://polymtl.ca,9/8/2011
170,,Michigan State University,,01,20111001,,,Business College Complex,N370,East Lansing,,,MI,48823,US,-1,00000000000298D6,,01,05,01,,http://broad.msu.edu/departments,10/11/2011
171,,Ohio University,,01,20120201,,,Copeland Hall,209,Athens,,,OH,45701,US,-1,000000000002D6D7,,01,05,01,,http://www.cob.ohiou.edu/mis,1/27/2012
172,,Olivet Nazarene University,,01,20120201,,,University Avenue,One,Bourbonnais,,,IL,60915,US,-1,000000000002D6FE,,01,99,01,,http://www.olivet.edut,1/30/2012
173,,University of Wisconsin-Eau Claire,,01,20120401,,,Garfield Avenue,105,Eau Claire,,,WI,54701,US,-1,000000000002F671,,01,04,01,,htttp://uwec.edu,4/5/2012
174,,Saint Cloud State University,,01,20120601,,,"4th Avenue South, Centennial Hall 118",720,St. Cloud,,,MN,56301,US,-1,0000000000054932,,01,05,01,,http://stcloudstate.edu/hbs/default.asp,11/21/2014
175,,University of Massachusetts Dartmouth,,01,20120601,20131231,,Old Westport Road,285,N. Dartmouth,,,MA,02747,US,-1,000000000004C6BE,,01,05,02,,http://umassd.edu/charlton,1/28/2014
176,,University of Southern Indiana,,01,20120601,,,University Blvd.,8600,Evansville,,,IN,47712,US,-1,0000000000030718,,01,05,01,,http://business.usi.edu/,5/9/2012
177,,Drexel University,,01,20120601,,,Chestnut Streets,32nd and,Philadelphia,,,PA,19104,US,-1,0000000000030759,,01,05,01,,http://lebow.drexel.edu,5/11/2012
178,,Stark State College,,03,20120601,,,Frank Avenue NW,6200,Canton,,,OH,44720,US,-1,00000000000307D9,,01,01,01,,http://starkstate.edu,5/14/2012
179,,Delaware State University,,01,20120601,,,North Dupont Highway,1200,Dover,,,DE,19901,US,-1,00000000000307DB,,01,05,01,,http://www.desu.edu/department-management,5/14/2012
180,,Kent State University,,01,20120601,,,NA,NA,Kent,,,OH,44236,US,-1,000000000003082A,,01,05,01,,http://www.kent.edu,5/17/2012
181,,North Carolina Agricultural & Technical State University,,01,20120601,,,East Market Street,1601,Greensboro,,,NC,27411,US,-1,00000000000315C0,,01,05,01,,http://www.ncat.edu,5/30/2012
182,,University of Houston Victoria,,01,20120601,20131231,,N. Ben Wilson,3007,Victoria,,,TX,77901,US,-1,000000000004BE81,,01,04,02,,http://www.uhv.edu/bus,1/6/2014
183,,University of Minnesota,,01,20120601,,,19th Avenue South,321,Minneaplis,,,MN,55455,US,-1,00000000000324CA,,01,05,01,,http://www.csom.umn.edu,6/11/2012
184,,University of West Georgia,,01,20120701,,,Maple Street,1601,Carrollton,,,GA,30118,US,-1,00000000000325A9,,01,04,01,,http://westga.edu/rcob,6/15/2012
185,,Guilford Technical Community College,,03,20120701,,,High Point Road,601,Greensboro,,,NC,27282,US,-1,0000000000032692,,01,01,01,,http://www.gtcc.edu,6/26/2012
186,,Texas Tech University,,01,20120701,,,Rawls College of Business,MS42101,Lubbock,,,TX,79409,US,-1,000000000003363E,,01,99,01,,http://rawlsbusiness.ttu.edu,7/16/2012
187,,University of Illinois Springfield,,01,20120901,,,University Plaza MS UHB 4021,One,Springfield,,,IL,62703,US,-1,00000000000472EF,,01,04,01,,http://uis.edu/cbam,8/21/2013
188,,University of Toledo,,01,20120901,,,"W. Bancroft St., MS 218",2801,Toledo,,,OH,43606,US,-1,000000000003649B,,01,05,01,,http://www.utoledo.edu/business,9/6/2012
189,,Dartmouth College,,01,20121101,,,Tuck Hall,100,Hanover,,,NH,03755,US,-1,0000000000037535,,01,99,01,,http://www.tuck.dartmouth.edu,10/18/2012
190,,Elmhurst College,,01,20121201,20151118,,Prospect Avenue,190,Elmhurst,,,IL,60126,US,-1,000000000005EACD,,01,04,02,,http://www.elmhurst.edu,11/18/2015
191,,High Point University,,01,20121201,,,Montlieu Avenue,"Drawer 40, 833",High Point,,,NC,27262,US,-1,00000000000392AA,,01,04,01,,http://www.highpoint.edu,11/12/2012
192,,Auburn University,,01,20121201,,,W. Magnolia,405,Auburn,,,AL,36489,US,-1,00000000000392EC,,01,05,01,,www.business.auburn.edu,11/13/2012
193,,University of Mary Hardin-Baylor,,01,20121201,,,College Street,900,Belton,,,TX,76513,US,-1,000000000003A20D,,01,05,01,,http://www.umhb.edu,11/16/2012
194,,Greenville Technical College,,03,20121201,,,,,Greenville,PO Box 5616,29606-5616,SC,,US,-1,000000000003B2D1,,01,01,01,,www.gvltec.edu,12/12/2012
