Univ_Code_Key,Univ_Abr_Code,Univ_name,Univ_name2,Univ_Institution_Type,Univ_Member_Since,Univ_Member_Until,Univ_Dept,Univ_Street,Univ_House_Number,Univ_City,Univ_PO_Box,Univ_PO_Zip,Univ_State,Univ_Zip,Univ_Country,Univ_Active,SSMA_TimeStamp,Univ_TimeZone,Univ_Member_Type,Univ_Degree,Univ_Status,Univ_GeoCode,Univ_URL,Univ_Modified
231,,Georgia College & State University,,01,20140301,,,"N. Clarke Street, Campus Box 12",111,Milledgeville,,,GA,31032,US,-1,000000000004DA82,,01,05,01,,http://www.gcsu.edu,3/3/2014
232,,Milwaukee Area Technical College,,04,20140301,,,W. State Street,700,Milwaukee,,,WI,53233,US,-1,000000000004DAB1,,01,01,01,,http://www.matc.edu,3/5/2014
233,,Gateway Technical College,,03,20140301,,,Main Street,1001,Racine,,,WI,53403,US,-1,000000000004DAB3,,01,01,01,,http://www.gtc.com,3/5/2014
234,,-- Select One --,,99,,,,,,,,,,,99,-1,000000000004DB70,,01,99,02,,,
235,,-- UA Staff --,,99,20140101,,,,,Milwaukee,,,WI,53209,US,-1,000000000004FD4E,,04,99,01,,,5/15/2014
236,,Epic College of Technology,,02,20140403,,,McAdam Road,5670,Mississauga,,,ON,L4Z 1T2,CA,-1,000000000004FCFB,,04,04,01,,http://www.epic-college.ca,5/14/2014
237,,Conestoga College Institute of Technology & Advanced Learning,,02,20140421,,,Doon Valley Drive,299,Kitchener,,,ON,N2G 4M4,CA,-1,000000000004FCF9,,04,99,01,,http://www.conestogac.on.ca,5/14/2014
238,,University of Illinois at Chicago,,01,20140701,,,"South Morgan St., Room 2402",601,Chicago,,,IL,60607,US,-1,00000000000518E8,,01,05,01,,http://www.uic.edu,6/27/2014
239,,Kentucky State University,,01,20140708,,,Main Street,400 East,Frankfort,,,KY,40601,US,-1,0000000000051D4F,,01,05,01,,http://kysu.edu,8/5/2014
240,,Saginaw Valley State University,,01,20140901,,,Bay Road,7400,University Center,,,MI,48710,US,-1,0000000000051CE4,,01,05,01,,http://www.svsu.edu/,8/4/2014
241,,Illinois State University,,01,20140801,,,5150,Campus Box,Normal,,,IL,61790-5150,US,-1,0000000000052592,,01,05,01,,http://illinoisstate.edu,8/28/2014
242,,University Arkansas Fort Smith,,01,20140901,,,Grand Avenue,5210,Fort Smith,3649,72913-3649,AR,72913,US,-1,0000000000052920,,01,02,01,,http://www.uafs.edu,9/9/2014
243,,Saint Michaels Learning Academy,,04,20140901,,,Westpark Drive Suite 180,6220,Houston,,,TX,77057,US,-1,0000000000054935,,01,03,01,,http://stmichaelslearningacademy.com,11/21/2014
244,,Pures College of Technology,,04,20141001,,,Town Centre Court,55,Scarborough,,,Ontario,M1P 5B5,CA,-1,000000000005A803,,01,03,02,,http://pures.ca,5/19/2015
245,,Ohio Northern University,,01,20150112,,,S Main Street,525,Ada,,,OH,45810,US,-1,0000000000056E3A,,01,05,01,,http://onu.edu,1/13/2015
246,,Southern Methodist University,,01,20141101,,,750333,P O Box,Dallas,,,TX,75275,US,-1,00000000000571DC,,01,05,01,,http://smu.edu/,1/22/2015
247,,University of Wisconsin-River Falls,,01,20150302,,,S. 3rd St.,410,River Falls,,,WI,54022,US,-1,0000000000058771,,01,04,01,,http://www.uwrf.edu,3/11/2015
248,,Purdue University Calumet,,01,20150401,,,Wicker Ave,2200,Hammond,,,IN,46323,US,-1,00000000000595F1,,01,04,01,,http://www.purduecal.edu,4/3/2015
249,,University of North Carolina at Charolette,,01,20150701,,,University City Blvd,9201,Charolette,,,NC,28223,US,-1,000000000005A5BC,,01,05,01,,http://uncc.edu,5/5/2015
250,,Kennesaw State University,,01,20150701,,,Chastain Rd,1000,Kennesaw,,,GA,30144,US,-1,000000000005A987,,01,05,01,,http://www.kennesaw.edu,5/29/2015
251,,Dowling College,,01,20150701,,,Idle Hour Blvd,150,Oakdale,,,NY,11769,US,-1,000000000005B6B2,,01,05,01,,http://www.dowling.edu,7/15/2015
252,,University of Massachusetts Lowell,Manning School of Business,01,20150901,,,University Avenue,1,Lowell,,,MA,01854,US,-1,000000000005D825,,01,05,01,,http://www.uml.edu/msb,9/8/2015
253,,Kaplan University,,01,20160101,,,Kaplan University Avenue,6301,Fort Lauderdale,,,FL,33309,US,-1,000000000005E703,,01,05,01,,http://www.kaplanuniveristy.edu/,10/1/2015
